order_id,order_date,customer_id,product_category,price,quantity
d3ebe033-74f3-4ad9-8ae3-1c2a817a8811,,5506.0,Electronics,48.03,4
25ca530a-48a1-4f9f-9cbe-1ab48a5a7cd2,2023-10-15,4257.0,Toys,405.67,-4
bf95eb3f-a26c-4d63-903b-9b04d3567b77,2023-03-21,4527.0,Electronics,175.26,8
fe4adf9b-b8d6-4a70-998e-75570bf76502,2023-07-13,2291.0,Home,27.68,2
f8412298-6cec-4526-bd07-1fcc7f1543f3,2023-07-14,5554.0,Clothing,137.15,10
6e698504-12ba-4fbc-a2b1-4395b8dbb9c3,2023-05-06,3677.0,Clothing,389.12,6
f6309af9-a43a-4c7e-84fa-cdfa4f5a4470,2023-10-18,6155.0,Toys,373.77,7
2a015069-91a4-4cd6-9157-5f17b750aba5,2023-04-23,3266.0,Electronics,84.19,7
5d037938-47ef-45e0-ab06-de246b5e4534,2023-09-28,5119.0,Electronics,442.97,6
43a0a744-cc65-4936-85e7-75c27b0d1f12,2023-08-21,1053.0,Home,256.3,9
7a794005-81ec-4777-9894-32b633cb262d,2023-03-24,9837.0,Electronics,60.37,5
32a0e74d-697d-4ff9-92b1-c7bd82f86ff7,2023-10-18,2290.0,Electronics,67.25,3
4db0ad22-f241-4585-8cc3-afbbc1fcd6a2,2023-08-05,4470.0,Clothing,337.49,8
2a4256f4-9a82-4753-8be3-47561df0a879,2023-06-23,1344.0,Clothing,-15.32,1
17f02d4e-da9d-4582-8df7-7313c8092cce,2023-05-02,5562.0,Clothing,290.22,7
84375968-b52d-413c-8a01-8fca1f30ad79,2023-08-09,6804.0,Electronics,53.72,2
46310634-4d95-4758-a811-06c2495bbdf3,2023-08-18,3296.0,Clothing,404.97,9
d885daa3-9c30-43dc-87d8-99bcade520de,2023-05-02,3724.0,Toys,6.07,8
cf36182a-8806-489c-ba75-89115df54c7b,2023-10-12,8973.0,Electronics,375.25,9
21809850-c759-4b15-9a3e-23436abf5921,2023-01-30,9320.0,Electronics,64.34,10
fafc0bae-b5e7-4913-a1e8-797f986ff185,2030-01-11,7868.0,Home,359.51,5
35ad134b-6c67-4cca-a6bd-749b3e14b309,2023-02-07,1152.0,Electronics,136.27,4
b71cf34a-95be-42fe-bb93-e5b9602aaf21,2023-10-06,5956.0,Electronics,466.22,5
182b415e-4b1a-4ed6-a36c-d1b5f62756b6,2023-10-11,3546.0,Home,135.67,1
0c290132-14da-46c7-8878-f6de631f054e,2023-05-22,,Home,354.31,3
1d1d0b17-b4f7-4844-b345-15b263621930,2023-10-26,3426.0,Home,431.05,4
85d55c8a-054f-412e-9320-ce37c916964e,2023-10-14,7658.0,Clothing,406.33,6
8d94fb14-cffd-4733-b459-09569784c671,2023-12-09,5065.0,Electronics,237.99,6
1c3bd601-020b-4407-a5ef-240def8b4eb9,2023-04-27,4652.0,Home,387.8,9
164e7f21-031d-48ba-927a-286a106fd7fa,,5279.0,Home,176.12,9
0b6e88e0-405b-4e0f-8188-e98f9df439dd,2023-04-08,5173.0,Clothing,333.8,2
88c44a74-d36c-4035-9965-31c650e5ebb6,2023-06-08,7691.0,Clothing,192.68,10
