Fecha,Sucursal,ID interno,Temporada,Cantidad Vendida
2026-01-13,TIENDA_SUR,100100,FW25_VIGENTE,4
2026-01-13,TIENDA_CENTRO,100100,NOOS,1
2026-01-13,TIENDA_NORTE,100200,NOOS,1
2026-01-13,TIENDA_CENTRO,100200,NOOS,3
2026-01-13,TIENDA_OCCIDENTE,100200,FW25_VIGENTE,2
2026-01-13,TIENDA_NORTE,100300,NOOS,5
2026-01-13,TIENDA_SUR,100300,NOOS,3
2026-01-13,TIENDA_CENTRO,100300,FW25_VIGENTE,4
2026-01-13,TIENDA_NORTE,100400,NOOS,5
2026-01-13,TIENDA_SUR,100400,SS26,1
2026-01-13,TIENDA_CENTRO,100500,FW25_VIGENTE,2
2026-01-12,TIENDA_NORTE,100200,NOOS,1
2026-01-12,TIENDA_SUR,100200,FW25_VIGENTE,5
2026-01-12,TIENDA_NORTE,100300,NOOS,6
2026-01-12,TIENDA_CENTRO,100300,SS26,2
2026-01-12,TIENDA_OCCIDENTE,100300,FW25_VIGENTE,1
2026-01-12,TIENDA_CENTRO,100400,NOOS,1
2026-01-12,TIENDA_NORTE,100500,SS26,4
2026-01-12,TIENDA_SUR,100500,SS26,3
2026-01-12,TIENDA_CENTRO,100500,NOOS,4
2026-01-11,TIENDA_CENTRO,100100,NOOS,3
2026-01-11,TIENDA_NORTE,100200,SS26,3
2026-01-11,TIENDA_OCCIDENTE,100200,SS26,1
2026-01-11,TIENDA_SUR,100300,FW25_VIGENTE,3
2026-01-11,TIENDA_CENTRO,100300,NOOS,2
2026-01-11,TIENDA_SUR,100400,NOOS,5
2026-01-11,TIENDA_CENTRO,100400,SS26,4
2026-01-11,TIENDA_NORTE,100500,NOOS,4
2026-01-10,TIENDA_SUR,100100,FW25_VIGENTE,2
2026-01-10,TIENDA_CENTRO,100100,NOOS,4
2026-01-10,TIENDA_NORTE,100200,FW25_VIGENTE,6
2026-01-10,TIENDA_SUR,100200,SS26,1
2026-01-10,TIENDA_CENTRO,100200,FW25_VIGENTE,4
2026-01-10,TIENDA_OCCIDENTE,100200,SS26,2
2026-01-10,TIENDA_NORTE,100300,NOOS,4
2026-01-10,TIENDA_NORTE,100400,SS26,5
2026-01-10,TIENDA_SUR,100400,SS26,3
2026-01-10,TIENDA_NORTE,100500,NOOS,4
2026-01-10,TIENDA_SUR,100500,NOOS,5
2026-01-10,TIENDA_OCCIDENTE,100500,NOOS,1
2026-01-09,TIENDA_NORTE,100100,NOOS,2
2026-01-09,TIENDA_CENTRO,100100,NOOS,4
2026-01-09,TIENDA_NORTE,100200,FW25_VIGENTE,6
2026-01-09,TIENDA_OCCIDENTE,100300,FW25_VIGENTE,2
2026-01-09,TIENDA_NORTE,100400,NOOS,1
2026-01-09,TIENDA_SUR,100400,SS26,3
2026-01-09,TIENDA_CENTRO,100400,NOOS,2
2026-01-08,TIENDA_CENTRO,100100,FW25_VIGENTE,3
2026-01-08,TIENDA_NORTE,100200,NOOS,3
2026-01-08,TIENDA_SUR,100200,FW25_VIGENTE,2
2026-01-08,TIENDA_CENTRO,100200,SS26,4
2026-01-08,TIENDA_NORTE,100300,NOOS,2
2026-01-08,TIENDA_SUR,100300,NOOS,4
2026-01-08,TIENDA_NORTE,100400,FW25_VIGENTE,4
2026-01-08,TIENDA_SUR,100500,NOOS,5
2026-01-07,TIENDA_OCCIDENTE,100100,NOOS,1
2026-01-07,TIENDA_CENTRO,100200,FW25_VIGENTE,1
2026-01-07,TIENDA_NORTE,100300,FW25_VIGENTE,3
2026-01-07,TIENDA_SUR,100300,SS26,2
2026-01-07,TIENDA_SUR,100400,SS26,4
2026-01-07,TIENDA_OCCIDENTE,100400,NOOS,2
2026-01-07,TIENDA_CENTRO,100500,NOOS,3
2026-01-06,TIENDA_NORTE,100200,SS26,2
2026-01-06,TIENDA_CENTRO,100200,NOOS,2
2026-01-06,TIENDA_OCCIDENTE,100200,NOOS,2
2026-01-06,TIENDA_NORTE,100300,FW25_VIGENTE,2
2026-01-06,TIENDA_OCCIDENTE,100300,SS26,1
2026-01-06,TIENDA_NORTE,100400,FW25_VIGENTE,6
2026-01-06,TIENDA_SUR,100400,SS26,3
2026-01-06,TIENDA_NORTE,100500,FW25_VIGENTE,1
2026-01-05,TIENDA_NORTE,100100,NOOS,5
2026-01-05,TIENDA_NORTE,100200,NOOS,3
2026-01-05,TIENDA_SUR,100200,FW25_VIGENTE,2
2026-01-05,TIENDA_NORTE,100400,FW25_VIGENTE,4
2026-01-05,TIENDA_SUR,100500,SS26,2
2026-01-04,TIENDA_NORTE,100200,FW25_VIGENTE,1
2026-01-04,TIENDA_SUR,100200,FW25_VIGENTE,2
2026-01-04,TIENDA_CENTRO,100200,NOOS,1
2026-01-04,TIENDA_OCCIDENTE,100200,NOOS,1
2026-01-04,TIENDA_NORTE,100300,NOOS,6
2026-01-04,TIENDA_SUR,100300,SS26,4
2026-01-04,TIENDA_CENTRO,100300,SS26,2
2026-01-04,TIENDA_NORTE,100400,FW25_VIGENTE,1
2026-01-04,TIENDA_OCCIDENTE,100400,SS26,1
2026-01-04,TIENDA_NORTE,100500,FW25_VIGENTE,3
2026-01-03,TIENDA_CENTRO,100100,SS26,1
2026-01-03,TIENDA_NORTE,100200,SS26,2
2026-01-03,TIENDA_OCCIDENTE,100200,FW25_VIGENTE,2
2026-01-03,TIENDA_NORTE,100300,FW25_VIGENTE,2
2026-01-03,TIENDA_SUR,100300,FW25_VIGENTE,4
2026-01-03,TIENDA_CENTRO,100300,FW25_VIGENTE,3
2026-01-03,TIENDA_NORTE,100500,SS26,4
2026-01-02,TIENDA_NORTE,100100,FW25_VIGENTE,6
2026-01-02,TIENDA_OCCIDENTE,100100,NOOS,1
2026-01-02,TIENDA_NORTE,100200,SS26,4
2026-01-02,TIENDA_SUR,100200,NOOS,5
2026-01-02,TIENDA_CENTRO,100200,NOOS,1
2026-01-02,TIENDA_OCCIDENTE,100200,NOOS,1
2026-01-02,TIENDA_NORTE,100300,NOOS,3
2026-01-02,TIENDA_SUR,100300,SS26,4
2026-01-02,TIENDA_CENTRO,100300,SS26,3
2026-01-02,TIENDA_NORTE,100400,SS26,5
2026-01-02,TIENDA_SUR,100400,NOOS,3
2026-01-02,TIENDA_CENTRO,100400,SS26,4
2026-01-02,TIENDA_NORTE,100500,NOOS,3
2026-01-02,TIENDA_SUR,100500,FW25_VIGENTE,5
2026-01-01,TIENDA_NORTE,100100,FW25_VIGENTE,4
2026-01-01,TIENDA_SUR,100200,NOOS,5
2026-01-01,TIENDA_CENTRO,100300,SS26,3
2026-01-01,TIENDA_NORTE,100400,NOOS,5
2026-01-01,TIENDA_SUR,100400,FW25_VIGENTE,2
2026-01-01,TIENDA_OCCIDENTE,100400,NOOS,1
2026-01-01,TIENDA_CENTRO,100500,FW25_VIGENTE,2
2025-12-31,TIENDA_NORTE,100100,NOOS,6
2025-12-31,TIENDA_SUR,100100,SS26,5
2025-12-31,TIENDA_CENTRO,100100,SS26,3
2025-12-31,TIENDA_SUR,100200,FW25_VIGENTE,3
2025-12-31,TIENDA_NORTE,100400,FW25_VIGENTE,2
2025-12-30,TIENDA_SUR,100200,FW25_VIGENTE,3
2025-12-30,TIENDA_CENTRO,100200,FW25_VIGENTE,2
2025-12-30,TIENDA_SUR,100300,FW25_VIGENTE,2
2025-12-30,TIENDA_SUR,100400,FW25_VIGENTE,1
2025-12-30,TIENDA_OCCIDENTE,100500,NOOS,2
2025-12-29,TIENDA_NORTE,100100,NOOS,3
2025-12-29,TIENDA_OCCIDENTE,100100,SS26,1
2025-12-29,TIENDA_SUR,100200,SS26,5
2025-12-29,TIENDA_SUR,100400,SS26,1
2025-12-29,TIENDA_CENTRO,100400,SS26,1
2025-12-29,TIENDA_OCCIDENTE,100400,FW25_VIGENTE,2
2025-12-29,TIENDA_NORTE,100500,NOOS,6
2025-12-28,TIENDA_NORTE,100200,FW25_VIGENTE,5
2025-12-28,TIENDA_OCCIDENTE,100200,NOOS,2
2025-12-28,TIENDA_NORTE,100300,SS26,2
2025-12-28,TIENDA_NORTE,100400,SS26,4
2025-12-28,TIENDA_CENTRO,100400,FW25_VIGENTE,1
2025-12-28,TIENDA_NORTE,100500,SS26,3
2025-12-28,TIENDA_SUR,100500,FW25_VIGENTE,2
2025-12-28,TIENDA_CENTRO,100500,NOOS,2
2025-12-27,TIENDA_NORTE,100100,SS26,5
2025-12-27,TIENDA_NORTE,100200,NOOS,5
2025-12-27,TIENDA_SUR,100200,SS26,1
2025-12-27,TIENDA_SUR,100300,FW25_VIGENTE,5
2025-12-27,TIENDA_CENTRO,100300,SS26,4
2025-12-27,TIENDA_NORTE,100400,FW25_VIGENTE,3
2025-12-27,TIENDA_NORTE,100500,FW25_VIGENTE,2
2025-12-27,TIENDA_SUR,100500,SS26,1
2025-12-27,TIENDA_CENTRO,100500,SS26,4
2025-12-26,TIENDA_SUR,100100,SS26,3
2025-12-26,TIENDA_CENTRO,100100,SS26,4
2025-12-26,TIENDA_CENTRO,100200,FW25_VIGENTE,1
2025-12-25,TIENDA_NORTE,100100,SS26,5
2025-12-25,TIENDA_SUR,100100,NOOS,4
